danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,67;275373;0,77;0;0,32;-6;0,03;129,95;6;66
0,57;220891;0,12;0,89;0,08;-25,04;0,04;130,05;2;0
0,76;245400;0,72;0;0,08;-5,8;0,06;119,41;10;42
0,25;323933;0,47;0;0,08;-7,88;0,03;113,11;11;50
0,12;427133,5;0,07;0,93;0,08;-23,98;0,04;114,65;8;9
0,8;414970;0,74;0,86;0,05;-6,93;0,05;126;2;0
0,39;187387;0,12;0;0,12;-17,12;0,03;75,44;7;26
0,37;316360;0,67;0,07;0,08;-12,38;0,04;93,89;7;22
0,49;77780;0,98;0,11;0,38;-6,66;0,06;135,01;11;5
0,77;123227;0,26;0,19;0,07;-11,62;0,06;95,36;8;0
0,6;176333;0,78;0;0,31;-7,32;0,03;137,14;9;39
0,63;161326;0,71;0;0,06;-11,3;0,08;124,59;7;2
0,39;261227;0,06;0,01;0,08;-20,38;0,04;136,99;0;37
0,41;208933;0,32;0,92;0,05;-16;0,05;101,92;0;25
0,75;215669;0,83;0;0,04;-7,31;0,04;127;0;0
0,69;211507;0,5;0;0,11;-7,27;0,04;83,53;6;50
0,4;253342;0,32;0;0,3;-7,03;0,04;118,58;1;75
